"date","locA","locB","total","month","day_of_week","day_of_month","season"
2018-07-28,22,15,37,"July","Saturday",28,"Summer"
2018-08-08,45,25,70,"August","Wednesday",8,"Summer"
2018-08-11,90,24,114,"August","Saturday",11,"Summer"
2018-08-12,45,15,60,"August","Sunday",12,"Summer"
2018-08-20,45,26,71,"August","Monday",20,"Summer"
2018-08-24,65,20,85,"August","Friday",24,"Summer"
2018-08-25,50,30,80,"August","Saturday",25,"Summer"
2018-09-02,35,28,63,"September","Sunday",2,"Autumn"
2018-09-05,60,25,85,"September","Wednesday",5,"Autumn"
2018-09-09,53,16,69,"September","Sunday",9,"Autumn"
2018-09-09,30,15,45,"September","Sunday",9,"Autumn"
2018-09-15,36,14,50,"September","Saturday",15,"Autumn"
2018-09-17,45,25,70,"September","Monday",17,"Autumn"
2018-09-22,25,15,40,"September","Saturday",22,"Autumn"
2018-10-03,45,25,70,"October","Wednesday",3,"Autumn"
2018-10-06,35,10,45,"October","Saturday",6,"Autumn"
2018-10-07,45,18,63,"October","Sunday",7,"Autumn"
2018-10-13,25,12,37,"October","Saturday",13,"Autumn"
2018-10-14,30,10,40,"October","Sunday",14,"Autumn"
2018-10-15,30,3,33,"October","Monday",15,"Autumn"
2018-10-19,30,18,48,"October","Friday",19,"Autumn"
2018-10-20,30,15,45,"October","Saturday",20,"Autumn"
2018-10-31,20,8,28,"October","Wednesday",31,"Autumn"
2018-11-02,25,10,35,"November","Friday",2,"Autumn"
2018-11-03,15,13,28,"November","Saturday",3,"Autumn"
2018-11-10,25,15,40,"November","Saturday",10,"Autumn"
2018-11-12,25,25,50,"November","Monday",12,"Autumn"
2018-11-12,25,15,40,"November","Monday",12,"Autumn"
2018-11-16,10,20,30,"November","Friday",16,"Autumn"
2018-11-28,25,11,36,"November","Wednesday",28,"Autumn"
2018-12-01,16,11,27,"December","Saturday",1,"Winter"
2018-12-08,25,15,40,"December","Saturday",8,"Winter"
2018-12-10,20,15,35,"December","Monday",10,"Winter"
2018-12-14,22,8,30,"December","Friday",14,"Winter"
2018-12-26,11,4,15,"December","Wednesday",26,"Winter"
2018-12-28,25,25,50,"December","Friday",28,"Winter"
2018-12-29,8,10,18,"December","Saturday",29,"Winter"
2019-01-05,15,10,25,"January","Saturday",5,"Winter"
2019-01-07,26,12,38,"January","Monday",7,"Winter"
2019-01-11,15,15,30,"January","Friday",11,"Winter"
2019-01-13,45,15,60,"January","Sunday",13,"Winter"
2019-01-19,20,15,35,"January","Saturday",19,"Winter"
2019-01-23,25,12,37,"January","Wednesday",23,"Winter"
2019-01-25,6,6,12,"January","Friday",25,"Winter"
2019-01-26,20,5,25,"January","Saturday",26,"Winter"
2019-02-02,20,15,35,"February","Saturday",2,"Winter"
2019-02-04,27,17,44,"February","Monday",4,"Winter"
2019-02-08,27,15,42,"February","Friday",8,"Winter"
2019-02-20,31,14,45,"February","Wednesday",20,"Winter"
2019-02-23,22,13,35,"February","Saturday",23,"Winter"
2019-03-01,25,10,35,"March","Friday",1,"Spring"
2019-03-02,15,12,27,"March","Saturday",2,"Spring"
2019-03-04,25,12,37,"March","Monday",4,"Spring"
2019-03-08,20,25,45,"March","Friday",8,"Spring"
2019-03-20,36,14,50,"March","Wednesday",20,"Spring"
2019-03-22,35,15,50,"March","Friday",22,"Spring"
2019-03-23,25,10,35,"March","Saturday",23,"Spring"
2019-03-24,60,20,80,"March","Sunday",24,"Spring"
2019-03-30,30,15,45,"March","Saturday",30,"Spring"
2019-04-01,47,14,61,"April","Monday",1,"Spring"
2019-04-17,34,18,52,"April","Wednesday",17,"Spring"
2019-04-20,29,19,48,"April","Saturday",20,"Spring"
2019-04-27,25,20,45,"April","Saturday",27,"Spring"
2019-04-29,35,26,61,"April","Monday",29,"Spring"
2019-05-03,25,15,40,"May","Friday",3,"Spring"
2019-05-15,38,25,63,"May","Wednesday",15,"Spring"
2019-05-17,45,25,70,"May","Friday",17,"Spring"
2019-05-25,50,20,70,"May","Saturday",25,"Spring"
2019-05-27,50,15,65,"May","Monday",27,"Spring"
2019-05-31,25,30,55,"May","Friday",31,"Spring"
2019-06-09,45,25,70,"June","Sunday",9,"Summer"
2019-06-12,35,15,50,"June","Wednesday",12,"Summer"
2019-06-15,25,17,42,"June","Saturday",15,"Summer"
2019-06-22,30,20,50,"June","Saturday",22,"Summer"
2019-06-24,30,15,45,"June","Monday",24,"Summer"
2019-07-10,42,22,64,"July","Wednesday",10,"Summer"
2019-07-14,21,18,39,"July","Sunday",14,"Summer"
2019-07-22,58,25,83,"July","Monday",22,"Summer"
2019-07-26,45,18,63,"July","Friday",26,"Summer"
2019-08-07,48,32,80,"August","Wednesday",7,"Summer"
2019-08-17,30,15,45,"August","Saturday",17,"Summer"
2019-08-17,50,15,65,"August","Saturday",17,"Summer"
2019-08-19,45,20,65,"August","Monday",19,"Summer"
2019-08-23,40,25,65,"August","Friday",23,"Summer"
2019-09-04,50,17,67,"September","Wednesday",4,"Autumn"
2019-09-14,30,15,45,"September","Saturday",14,"Autumn"
2019-09-16,35,25,60,"September","Monday",16,"Autumn"
2019-10-02,35,23,58,"October","Wednesday",2,"Autumn"
2019-10-05,17,15,32,"October","Saturday",5,"Autumn"
2019-10-14,25,15,40,"October","Monday",14,"Autumn"
2019-10-30,23,16,39,"October","Wednesday",30,"Autumn"
2019-11-02,25,10,35,"November","Saturday",2,"Autumn"
2019-11-03,30,21,51,"November","Sunday",3,"Autumn"
