,date,locA,locB,total,month,day_of_week,day_of_month,season,event
102,2019-03-20,36,14,50,March,Wednesday,20,Spring,0
103,2019-03-22,35,15,50,March,Friday,22,Spring,0
104,2019-03-23,25,10,35,March,Saturday,23,Spring,0
105,2019-03-24,60,20,80,March,Sunday,24,Spring,0
106,2019-03-30,30,15,45,March,Saturday,30,Spring,0
107,2019-04-01,47,14,61,April,Monday,1,Spring,0
108,2019-04-17,34,18,52,April,Wednesday,17,Spring,0
109,2019-04-20,29,19,48,April,Saturday,20,Spring,0
110,2019-04-27,25,20,45,April,Saturday,27,Spring,0
111,2019-04-29,35,26,61,April,Monday,29,Spring,0
112,2019-05-03,25,15,40,May,Friday,3,Spring,0
113,2019-05-15,38,25,63,May,Wednesday,15,Spring,0
114,2019-05-17,45,25,70,May,Friday,17,Spring,0
115,2019-05-25,50,20,70,May,Saturday,25,Spring,0
116,2019-05-27,50,15,65,May,Monday,27,Spring,0
117,2019-05-31,25,30,55,May,Friday,31,Spring,0
118,2019-06-09,45,25,70,June,Sunday,9,Summer,1
119,2019-06-12,35,15,50,June,Wednesday,12,Summer,1
120,2019-06-15,25,17,42,June,Saturday,15,Summer,1
121,2019-06-22,30,20,50,June,Saturday,22,Summer,1
122,2019-06-24,30,15,45,June,Monday,24,Summer,0
123,2019-07-10,42,22,64,July,Wednesday,10,Summer,0
124,2019-07-14,21,18,39,July,Sunday,14,Summer,0
125,2019-07-22,58,25,83,July,Monday,22,Summer,0
126,2019-07-26,45,18,63,July,Friday,26,Summer,0
127,2019-08-07,48,32,80,August,Wednesday,7,Summer,0
128,2019-08-17,30,15,45,August,Saturday,17,Summer,0
129,2019-08-17,50,15,65,August,Saturday,17,Summer,0
130,2019-08-19,45,20,65,August,Monday,19,Summer,0
131,2019-08-23,40,25,65,August,Friday,23,Summer,0
132,2019-09-04,50,17,67,September,Wednesday,4,Autumn,0
133,2019-09-14,30,15,45,September,Saturday,14,Autumn,0
134,2019-09-16,35,25,60,September,Monday,16,Autumn,0
135,2019-10-02,35,23,58,October,Wednesday,2,Autumn,0
136,2019-10-05,17,15,32,October,Saturday,5,Autumn,0
137,2019-10-14,25,15,40,October,Monday,14,Autumn,0
138,2019-10-30,23,16,39,October,Wednesday,30,Autumn,0
139,2019-11-02,25,10,35,November,Saturday,2,Autumn,0
140,2019-11-03,30,21,51,November,Sunday,3,Autumn,0
